,Unnamed: 0,country,status,gdp,plastic_usage_per_cative,mean of income,tax,population,coeff_prod_before,coeff_prod_after,prod_state,coeff_cons_before,coeff_cons_after,cons_state,full_coeff_prod,full_coeff_cons,full_coeff_prod_num,full_coeff_cons_num
0,0,Kuwait,X,24811,70.08083333333333,286718.25,-1.0,4072.25,[0.4703981],[],None,[0.40309889],[],None,[0.6082287800065679],[0.49152937495431054],0.6082287800065679,0.49152937495431054
2,2,Libya,X,7614,19.39325,121947.83333333331,-1.0,6301.833333333333,[-3.1172781],[],None,[-2.66088784],[],None,[0.23617000365240334],[0.3724617608094244],0.23617000365240334,0.3724617608094244
3,3,Malaysia,B,9040,25.792416666666668,621762.9307315833,-1.0,30818.75,[-6.66133815e-16],[-5.08011933],Ban/Tax,[0.],[0.58086136],Ban/Tax,[0.6662324673554636],[0.6875527223618485],0.6662324673554636,0.6875527223618485
4,4,Mexico,B,9271,17.399999999999995,2.2036614166666664,-1.0,126068.33333333331,[5.55111512e-17],[0.64027981],Ban/Tax,[7.77156117e-16],[0.64931906],Ban/Tax,[0.7330895452640854],[0.7584992425199677],0.7330895452640854,0.7584992425199677
5,5,Morocco,B,2896,8.07125,270376.75,-1.0,33330.333333333336,[0.42502485],[0.12591077],Ban/Tax,[0.72822914],[0.40668493],Ban/Tax,[0.3800036933285752],[0.5815227350711305],0.3800036933285752,0.5815227350711305
6,6,Netherland,T,46039,49.64766666666667,838891.25,0.3,16881.083333333332,[-5.12872195],[0.37604729],Ban/Tax,[0.27746306],[0.40583826],Ban/Tax,[0.7225394990312843],[0.6434219199121294],0.7225394990312843,0.6434219199121294
7,7,Nigeria,B,2229,5.922416666666667,354987.03714850004,-1.0,177087.25,[0.58068914],[0.20923478],Ban/Tax,[0.67030938],[0.36152296],Ban/Tax,[0.5476494724651386],[0.636005998924989],0.5476494724651386,0.636005998924989
8,8,Oman,B,16823,44.24883333333333,163382.33333333334,-1.0,3688.25,[],[0.57791511],None,[],[0.43996241],None,[0.6033535923502404],[0.4985679516456978],0.6033535923502404,0.4985679516456978
9,9,Pakistan,B,1208,5.008916666666666,547646.0544388333,-1.0,185108.91666666663,[1.06845358],[0.38217641],Ban/Tax,[1.27921555],[0.57346098],Ban/Tax,[0.5473828482251415],[0.6470207126589956],0.5473828482251415,0.6470207126589956
10,10,Peru,T,7023,11.966416666666666,382361.3333333333,0.03,31711.5,[0.26463853],[0.08362366],Ban/Tax,[0.61320077],[0.27551946],Ban/Tax,[0.26110680354600463],[0.5999465962185331],0.26110680354600463,0.5999465962185331
11,11,Poland,T,15468,26.413083333333336,432339.98848208325,0.08,38024.0,[0.65646227],[0.3243614],Ban/Tax,[0.76330816],[0.44301265],Ban/Tax,[0.6441652976058065],[0.7010894687443573],0.6441652976058065,0.7010894687443573
12,12,Qatar,X,50124,136.14108333333334,307233.8333333333,-1.0,2255.583333333333,[0.62062078],[],None,[0.40663605],[],None,[0.6634682919835451],[0.45230296093714817],0.6634682919835451,0.45230296093714817
13,13,Romania,B,12899,20.84941666666667,415908.5,-1.0,19982.916666666668,[-5.00444139],[0.08362368],Ban/Tax,[0.54780941],[0.23612001],Ban/Tax,[0.4563913344315677],[0.5794756194526514],0.4563913344315677,0.5794756194526514
14,14,Russia,X,10161,25.368,3.6800938333333337,-1.0,144983.33333333334,[0.69871035],[],None,[0.68852919],[],None,[0.756402586087541],[0.7576222624148959],0.756402586087541,0.7576222624148959
15,15,Saudi Arabia,X,20203,51.8305,1.6115241666666664,-1.0,30878.75,[0.77935137],[],None,[0.62477187],[],None,[0.8340270398261893],[0.7064067570549741],0.8340270398261893,0.7064067570549741
16,16,Serbia,B,7252,13.948833333333337,100052.58333333331,-1.0,7178.416666666667,[0.44537388],[0.09598101],Ban/Tax,[0.53868073],[0.24952402],Ban/Tax,[0.4581644353760722],[0.524501435270133],0.4581644353760722,0.524501435270133
17,17,Spain,B,28170,35.434,1.64341325,-1.0,46399.25,[0.69552201],[0.40827745],Ban/Tax,[-5.39132988],[0.41650132],Ban/Tax,[0.7053243349239204],[0.6986530686791212],0.7053243349239204,0.6986530686791212
18,18,Switzerland,B,83073,58.45875000000001,478180.0833333333,-1.0,8159.833333333333,[0.28603971],[0.16930647],Ban/Tax,[0.41715892],[0.3062011],Ban/Tax,[0.39629996607056484],[0.5659230675853686],0.39629996607056484,0.5659230675853686
19,19,Taiwan,B,26421,45.98558333333333,301966.36125441664,-1.0,23455.33333333333,[0.75710006],[0.42989866],Ban/Tax,[0.73270864],[0.39526283],Ban/Tax,[0.7782810330514518],[0.7115182009022263],0.7782810330514518,0.7115182009022263
20,20,Tanzania,B,1085,2.88375,138211.25,-1.0,47230.0,[0.12750805],[0.03691923],Ban/Tax,[0.53706677],[0.22558065],Ban/Tax,[0.1101817519357545],[0.5089182535221],0.1101817519357545,0.5089182535221
21,21,Thailand,BX,7233,16.043,301204.7154749167,-1.0,68457.83333333333,[0.70122333],[],None,[0.65194851],[],None,[0.7799542263704946],[0.7348609351676119],0.7799542263704946,0.7348609351676119
22,22,Tunisia,B,3687,11.56075,128308.16666666669,-1.0,11059.0,[0.22088637],[0.07005038],Ban/Tax,[0.57545846],[0.31187949],Ban/Tax,[0.16871560271286812],[0.518709851538614],0.16871560271286812,0.518709851538614
23,23,Turkey,T,9121,20.138916666666667,1.5629995833333332,0.045,77166.33333333333,[0.65340367],[0.29946812],Ban/Tax,[0.81793747],[0.45189227],Ban/Tax,[0.6380053487146463],[0.7687432747936589],0.6380053487146463,0.7687432747936589
24,24,Ukraine,X,3751,8.60925,373895.25,-1.0,43506.41666666666,[0.43165122],[],None,[0.42203876],[],None,[0.49681201929276586],[0.5943046052208627],0.49681201929276586,0.5943046052208627
25,25,United Arab Emirates,B,42412,65.41216666666666,626108.3333333334,-1.0,9492.416666666666,[1.78175661],[0.67850179],Ban/Tax,[0.81000247],[0.46152817],Ban/Tax,[0.7256183507424887],[0.5778604470809074],0.7256183507424887,0.5778604470809074
26,26,USA,T,48650,55.38708333333333,17.824358999999998,0.1,320911.0,[-5.55111512e-17],[0.76916249],Ban/Tax,[-7.77156117e-16],[0.75481735],Ban/Tax,[0.9108755134997375],[0.8927260664365411],0.9108755134997375,0.8927260664365411
27,27,Uzbekistan,X,1749,5.853916666666667,181404.0,-1.0,30640.33333333333,[0.51740471],[],None,[0.45715213],[],None,[0.5373382983731478],[0.5079112393368876],0.5373382983731478,0.5079112393368876
28,28,Vietnam,X,3526,6.001833333333334,551876.4166666666,-1.0,91220.16666666669,[0.57855534],[],None,[0.67604451],[],None,[0.6073823928190215],[0.7254127390411467],0.6073823928190215,0.7254127390411467
30,30,Algeria,X,3306,14.358249999999998,569633.25,-1.0,39422.083333333336,[-1.99760806],[],None,[0.56698502],[],None,[0.3372174317676093],[0.6115121841166139],0.3372174317676093,0.6115121841166139
31,31,Argentina,B,8225,22.14958333333333,589686.1135118334,-1.0,42882.333333333336,[],[0.42766018],None,[],[0.5250784],None,[0.6372371377541814],[0.6507170711257642],0.6372371377541814,0.6507170711257642
32,32,Austrailia,B,62574,47.07533333333333,231028.73282691665,-1.0,23894.5,[1.30633491],[-2.49926902],Ban/Tax,[1.67658978],[0.35210479],Ban/Tax,[0.5651474967585772],[0.6291022293035861],0.5651474967585772,0.6291022293035861
33,33,Austria,X,3306,47.253166666666665,403295.9166666667,-1.0,8524.916666666666,[0.43676196],[],None,[0.36068107],[],None,[0.6133237059879328],[0.5903803516482973],0.6133237059879328,0.5903803516482973
35,35,Belgium,T,44760,43.48983333333334,492146.0,0.03,11294.833333333334,[],[0.56697589],None,[],[0.50783533],None,[0.7453568855670771],[0.6655832116772904],0.7453568855670771,0.6655832116772904
36,36,Brazil,B,8813,15.365083333333333,3.127165916666667,-1.0,203300.0833333333,[1.08883103],[0.55256186],Ban/Tax,[1.23595726],[0.55121073],Ban/Tax,[0.7620481546114588],[0.7640943030106462],0.7620481546114588,0.7640943030106462
37,37,Bulgaria,X,10079,19.053583333333336,136912.33333333334,-1.0,7209.75,[-4.37945069],[],None,[0.4273051],[],None,[0.39853047568735067],[0.5193954985458569],0.39853047568735067,0.5193954985458569
38,38,Canada,B,54032,45.12733333333333,1.6113688333333334,-1.0,35599.333333333336,[0.60321965],[],None,[0.47906213],[],None,[0.7304954890860198],[0.6952705704758202],0.7304954890860198,0.6952705704758202
39,39,China,BX,1288,13.801916666666664,19.013435333333334,-1.0,1.3713541666666669,[0.92605494],[],None,[0.92244938],[],None,[0.9690896502452035],[0.9826397800496366],0.9690896502452035,0.9826397800496366
40,40,Czech Republic,X,23419,31.495500000000003,10539.083333333334,-1.0,10539.083333333334,[0.35008273],[0.41443333],Ban/Tax,[0.71030147],[0.35477484],Ban/Tax,[0.6049377585263386],[0.6327512159513975],0.6049377585263386,0.6327512159513975
41,41,Egypt,X,2331,12.019000000000004,451849.6049638334,-1.0,87308.83333333333,[],[0.64826537],None,[],[0.58582038],None,[0.6669120716771604],[0.6537395277820386],0.6669120716771604,0.6537395277820386
43,43,France,B,37062,41.79574999999999,17.383478083333333,-1.0,415412.0,[0.93050238],[0.61437295],Ban/Tax,[0.90575333],[0.65907652],Ban/Tax,[0.9140531742309734],[0.9033387649445737],0.9140531742309734,0.9033387649445737
44,44,Germany,TX,42136,46.35108333333333,3.804305416666667,0.22,82004.16666666667,[0.54509198],[],None,[0.62404439],[],None,[0.7853187554316747],[0.777599025939173],0.7853187554316747,0.777599025939173
45,45,Ghana,X,2254,4.21075,113956.91666666669,-1.0,26649.916666666668,[0.17189101],[],None,[0.42862567],[],None,[0.15250888563375398],[0.49156591418543255],0.15250888563375398,0.49156591418543255
46,46,Great Britain,BX,41098,40.81491666666667,2.650362083333333,-1.0,64766.833333333336,[0.4669154],[],None,[0.46238667],[],None,[0.6555002745949516],[0.7051247258847706],0.6555002745949516,0.7051247258847706
47,47,Hungary,X,16075,26.039416666666668,256988.0,-1.0,9880.916666666666,[0.42290489],[],None,[0.46172829],[],None,[0.6186102511633914],[0.5888511930966895],0.6186102511633914,0.5888511930966895
48,48,India,B,2072,6.1925,7.627502636363636,-1.0,1.273147909090909,[0.91306236],[0.50379813],Ban/Tax,[0.93365929],[0.23414605],Ban/Tax,[0.8253693447480932],[0.8608910387640839],0.8253693447480932,0.8608910387640839
49,49,Jordan,T,4231,12.186833333333334,83028.0,0.08,6768.833333333333,[0.12774029],[0.0443168],Ban/Tax,[0.62970116],[0.29261759],Ban/Tax,[0.08078007261031726],[0.5013322873079191],0.08078007261031726,0.5013322873079191
50,50,Kenya,B,1633,3.205083333333333,142546.33333333334,-1.0,43822.083333333336,[0.16914658],[0.09319223],Ban/Tax,[0.68685202],[0.34501784],Ban/Tax,[0.1563863678331645],[0.5414095770654633],0.1563863678331645,0.5414095770654633
